date,time,open,high,low,close,volume
2020-03-06,15:35:00,27880,27880,27880,27880,4318
2020-03-06,15:30:00,27880,27880,27880,27880,231198
2020-03-06,15:15:00,27830,27875,27810,27870,151390
2020-03-06,15:10:00,27800,27860,27790,27830,233374
2020-03-06,15:05:00,27780,27805,27760,27795,154432
2020-03-06,15:00:00,27775,27790,27770,27780,149487
2020-03-06,14:55:00,27785,27800,27745,27780,160469
2020-03-06,14:50:00,27810,27810,27760,27790,153966
2020-03-06,14:45:00,27805,27810,27785,27810,62341
2020-03-06,14:40:00,27790,27810,27790,27800,34007
2020-03-06,14:35:00,27805,27815,27790,27790,87204
2020-03-06,14:30:00,27795,27830,27790,27810,156022
2020-03-06,14:25:00,27850,27860,27795,27795,57967
2020-03-06,14:20:00,27835,27860,27830,27845,119043
2020-03-06,14:15:00,27825,27840,27815,27830,91310
2020-03-06,14:10:00,27815,27825,27815,27825,68098
2020-03-06,14:05:00,27825,27840,27815,27815,100401
2020-03-06,14:00:00,27805,27830,27800,27825,35824
2020-03-06,13:55:00,27805,27810,27785,27805,52715
2020-03-06,13:50:00,27835,27840,27795,27795,26420
2020-03-06,13:45:00,27805,27845,27805,27835,85012
2020-03-06,13:40:00,27805,27815,27795,27805,15863
2020-03-06,13:35:00,27795,27820,27795,27810,12179
2020-03-06,13:30:00,27805,27820,27790,27800,28420
2020-03-06,13:25:00,27785,27810,27785,27800,26393
2020-03-06,13:20:00,27800,27810,27785,27785,25484
2020-03-06,13:15:00,27820,27825,27790,27795,9477
2020-03-06,13:10:00,27825,27840,27805,27820,73613
2020-03-06,13:05:00,27785,27820,27780,27820,14646
2020-03-06,13:00:00,27805,27815,27775,27785,42009
2020-03-06,12:55:00,27815,27815,27790,27800,47919
2020-03-06,12:50:00,27845,27850,27805,27815,53046
2020-03-06,12:45:00,27840,27850,27830,27845,68585
2020-03-06,12:40:00,27865,27865,27840,27840,87063
2020-03-06,12:35:00,27850,27875,27835,27865,127483
2020-03-06,12:30:00,27830,27860,27820,27860,102266
2020-03-06,12:25:00,27845,27850,27825,27825,36639
2020-03-06,12:20:00,27810,27855,27805,27845,77985
2020-03-06,12:15:00,27825,27845,27805,27805,33936
2020-03-06,12:10:00,27830,27835,27815,27815,42848
2020-03-06,12:05:00,27810,27835,27800,27830,32121
2020-03-06,12:00:00,27795,27820,27785,27815,79263
2020-03-06,11:55:00,27825,27840,27785,27790,39275
2020-03-06,11:50:00,27805,27835,27795,27825,31319
2020-03-06,11:45:00,27825,27845,27800,27805,56691
2020-03-06,11:40:00,27845,27850,27810,27825,87990
2020-03-06,11:35:00,27810,27845,27805,27845,108076
2020-03-06,11:30:00,27800,27820,27785,27810,88092
2020-03-06,11:25:00,27810,27820,27785,27800,88980
2020-03-06,11:20:00,27820,27820,27780,27805,161555
2020-03-06,11:15:00,27765,27830,27765,27820,158417
2020-03-06,11:10:00,27800,27815,27765,27765,224591
2020-03-06,11:05:00,27855,27860,27800,27800,83626
2020-03-06,11:00:00,27880,27900,27835,27860,93554
2020-03-06,10:55:00,27895,27900,27860,27880,26904
2020-03-06,10:50:00,27890,27915,27865,27900,58363
2020-03-06,10:45:00,27930,27940,27880,27885,43392
2020-03-06,10:40:00,27930,27965,27925,27935,109410
2020-03-06,10:35:00,27935,27985,27905,27930,112481
2020-03-06,10:30:00,27925,27970,27910,27935,40333
2020-03-06,10:25:00,27945,27950,27910,27920,26605
2020-03-06,10:20:00,27910,27945,27880,27945,51821
2020-03-06,10:15:00,27945,27960,27900,27915,27679
2020-03-06,10:10:00,27955,27985,27935,27940,31690
2020-03-06,10:05:00,28000,28010,27950,27950,55878
2020-03-06,10:00:00,28050,28050,27990,28000,46778
2020-03-06,9:55:00,28045,28055,28020,28040,42360
2020-03-06,9:50:00,28015,28060,28015,28040,63065
2020-03-06,9:45:00,28055,28055,27985,28025,69666
2020-03-06,9:40:00,28085,28090,28015,28055,47329
2020-03-06,9:35:00,28135,28135,28065,28090,42577
2020-03-06,9:30:00,28130,28180,28130,28135,131828
2020-03-06,9:25:00,28130,28155,28095,28140,57225
2020-03-06,9:20:00,28135,28145,28105,28135,55787
2020-03-06,9:15:00,28120,28190,28100,28125,100903
2020-03-06,9:10:00,28065,28135,28055,28120,71685
2020-03-06,9:05:00,28095,28095,28000,28065,110876
2020-03-06,9:00:00,28075,28160,28070,28095,155466
2020-03-05,15:35:00,28450,28450,28450,28450,10839
2020-03-05,15:30:00,28450,28450,28450,28450,117055
2020-03-05,15:15:00,28420,28430,28400,28420,108029
2020-03-05,15:10:00,28410,28420,28375,28420,107123
2020-03-05,15:05:00,28480,28480,28405,28415,152630
2020-03-05,15:00:00,28510,28520,28455,28480,116251
2020-03-05,14:55:00,28525,28580,28510,28510,107856
2020-03-05,14:50:00,28530,28535,28510,28530,51141
2020-03-05,14:45:00,28515,28540,28500,28525,67690
2020-03-05,14:40:00,28535,28540,28500,28515,51779
2020-03-05,14:35:00,28510,28540,28495,28535,96933
2020-03-05,14:30:00,28475,28510,28460,28510,80533
